fullAddr,time,lat,lng
云南省曲靖市马龙县,72,25.368839999918,103.51309543424
云南省曲靖市陆良县,72,25.037570538056,103.70738599876
云南省曲靖市师宗县,72,24.680198025566,104.12947917517
云南省曲靖市罗平县,72,24.983157127291,104.34927875646
云南省曲靖市会泽县,72,26.46221827304,103.46854362948
云南省曲靖市富源县,72,25.467214378875,104.36745192446
云南省大理州鹤庆县,72,26.3354536106,100.27717450154
云南省大理州祥云县,72,25.516673292855,100.77807073662
云南省大理州弥渡县,72,25.1911077724,100.58186613328
云南省大理州宾川县,72,25.875307433534,100.62753770311
云南省大理州云龙县,72,25.894118475707,99.310077976062
云南省大理州剑川县,72,26.439596125001,99.750307802477
云南省大理州南涧县,72,24.903013805535,100.42490043802
云南省大理州漾濞县,72,25.605571782134,99.898375043674
云南省大理州永平县,72,25.374646522171,99.600792211043
云南省大理州巍山县,72,25.246753229328,100.17863906921
云南省大理州洱源县,72,26.072915856529,99.912156461292
云南省玉溪市元江县,72,23.586228573771,102.01883982504
云南省玉溪市易门县,72,24.6964042729,102.12219715311
云南省玉溪市澄江县,72,24.678380080254,102.94685033975
云南省玉溪市新平县,72,24.029740767019,101.73913066729
云南省玉溪市通海县,72,24.117558495247,102.71141640598
云南省玉溪市江川县,72,24.357607112235,102.76972833382
云南省玉溪市华宁县,72,24.284812305871,102.99906774243
云南省玉溪市峨山县,72,24.246114547538,102.21924987866
云南省红河州元阳县,72,23.069203281087,102.81956744943
云南省红河州石屏县,72,23.746259346157,102.45624894616
云南省红河州屏边县,72,23.10293665479,103.74841865939
云南省红河州弥勒县,72,24.226171661176,103.3897655617
云南省红河州绿春县,72,22.879205635376,102.24532652527
云南省红河州泸西县,72,24.517287142428,103.78325262963
云南省红河州金平县,72,22.782362632707,103.10295686991
云南省红河州建水县,72,23.683913975607,102.88967448622
云南省红河州红河县,72,23.25095486222,102.24334816633
云南省红河州河口县,72,22.787362600257,103.82344937104
云南省文山州砚山县,72,23.369870719795,104.24442291543
云南省文山州丘北县,72,24.127816712063,104.1103336155
云南省文山州马关县,72,22.956555382199,104.2703122499
云南省文山州麻栗县,72,23.369870719795,104.24442291543
云南省文山州广南县,72,23.967819904212,105.00649035975
云南省文山州富宁县,72,23.707256011437,105.74960821588
云南省普洱市镇沅县,72,23.947142361467,100.98205355627
云南省普洱市西盟县,72,22.708423462771,99.522119995137
云南省普洱市宁洱县,72,23.097350457989,101.19686023959
云南省普洱市墨江县,72,23.363251135433,101.55548645512
云南省普洱市孟连县,72,22.29422526245,99.478067991072
云南省普洱市澜沧县,72,22.788777780149,100.98005773013
云南省普洱市景谷县,72,23.368117190796,100.56429126294
云南省普洱市景东县,72,24.39672894394,100.79520569746
云南省普洱市江城县,72,22.625657650356,101.79692922563
