province,fullAddr,time,lat,lng
上海,上海上海市黄浦区,24,31.227203440769,121.49607206403
上海,上海上海市徐汇区,24,31.169152089592,121.44623500473
上海,上海上海市长宁区,24,31.213301496814,121.38761610866
上海,上海上海市静安区,24,31.235380803488,121.454755557
上海,上海上海市普陀区,24,31.263742929076,121.39844294375
上海,上海上海市闸北区,24,31.288044465926,121.45776881021
上海,上海上海市虹口区,24,31.282497228987,121.49191854079
上海,上海上海市杨浦区,24,31.304510479542,121.53571659963
上海,上海上海市闵行区,24,31.093537540382,121.42502428093
上海,上海上海市宝山区,24,31.398622694467,121.40904121845
上海,上海上海市嘉定区,24,31.364338055434,121.25101353756
上海,上海上海市浦东新区,24,31.230895349134,121.63848131409
上海,上海上海市金山区,24,30.835080777082,121.24840817975
上海,上海上海市松江区,24,31.021244628099,121.22679050142
上海,上海上海市青浦区,24,31.130862397997,121.09142524282
上海,上海上海市奉贤区,24,30.915122452606,121.56064167963
云南省,云南省昆明市呈贡区,24,24.871681730304,102.872617402
云南省,云南省昆明市五华区,24,25.261305956605,102.64937733166
云南省,云南省昆明市西山区,24,24.983630124462,102.60347769299
云南省,云南省昆明市盘龙区,24,25.274019484219,102.76755633841
云南省,云南省昆明市官渡区,24,25.031310976713,102.82881924705
云南省,云南省昆明市安宁市,48,24.852355456268,102.39112679952
云南省,云南省昆明市富民县,48,25.363439290284,102.58410264122
云南省,云南省昆明市寻甸县,48,25.666609835146,103.12781347645
云南省,云南省昆明市禄劝县,48,25.943771040548,102.59302748518
云南省,云南省楚雄州武定县,48,25.731109547237,102.20117587964
云南省,云南省西双版纳州景洪市,48,22.111413013255,100.92731774534
云南省,云南省丽江市古城区,48,26.859300417703,100.32859641682
云南省,云南省丽江市玉龙县,48,27.104463367195,99.951633936724
云南省,云南省曲靖市麒麟区,48,25.360057471573,103.91332638626
云南省,云南省曲靖市宣威市,48,26.276828622628,104.15257073219
云南省,云南省曲靖市沾益县,48,25.786710595914,103.84623836171
云南省,云南省大理州大理市,48,25.693966622473,100.21920895422
云南省,云南省玉溪市红塔区,48,24.369853985289,102.49989459797
云南省,云南省红河州蒙自县,48,23.346571630132,103.49968892168
云南省,云南省红河州开远县,48,23.729056002823,103.40015451021
云南省,云南省红河州个旧县,48,23.305692435101,103.14915471408
云南省,云南省文山州文山市,48,23.369870719795,104.24442291543
云南省,云南省普洱市思茅区,48,22.739133092283,100.85525310555
云南省,云南省保山市隆阳区,48,25.205265354944,99.069046057861
云南省,云南省曲靖市马龙县,72,25.368839999918,103.51309543424
云南省,云南省曲靖市陆良县,72,25.037570538056,103.70738599876
云南省,云南省曲靖市师宗县,72,24.680198025566,104.12947917517
云南省,云南省曲靖市罗平县,72,24.983157127291,104.34927875646
云南省,云南省曲靖市会泽县,72,26.46221827304,103.46854362948
云南省,云南省曲靖市富源县,72,25.467214378875,104.36745192446
云南省,云南省大理州鹤庆县,72,26.3354536106,100.27717450154
云南省,云南省大理州祥云县,72,25.516673292855,100.77807073662
云南省,云南省大理州弥渡县,72,25.1911077724,100.58186613328
云南省,云南省大理州宾川县,72,25.875307433534,100.62753770311
云南省,云南省大理州云龙县,72,25.894118475707,99.310077976062
云南省,云南省大理州剑川县,72,26.439596125001,99.750307802477
云南省,云南省大理州南涧县,72,24.903013805535,100.42490043802
云南省,云南省大理州漾濞县,72,25.605571782134,99.898375043674
云南省,云南省大理州永平县,72,25.374646522171,99.600792211043
云南省,云南省大理州巍山县,72,25.246753229328,100.17863906921
云南省,云南省大理州洱源县,72,26.072915856529,99.912156461292
云南省,云南省玉溪市元江县,72,23.586228573771,102.01883982504
云南省,云南省玉溪市易门县,72,24.6964042729,102.12219715311
云南省,云南省玉溪市澄江县,72,24.678380080254,102.94685033975
云南省,云南省玉溪市新平县,72,24.029740767019,101.73913066729
云南省,云南省玉溪市通海县,72,24.117558495247,102.71141640598
云南省,云南省玉溪市江川县,72,24.357607112235,102.76972833382
云南省,云南省玉溪市华宁县,72,24.284812305871,102.99906774243
云南省,云南省玉溪市峨山县,72,24.246114547538,102.21924987866
云南省,云南省红河州元阳县,72,23.069203281087,102.81956744943
云南省,云南省红河州石屏县,72,23.746259346157,102.45624894616
云南省,云南省红河州屏边县,72,23.10293665479,103.74841865939
云南省,云南省红河州弥勒县,72,24.226171661176,103.3897655617
云南省,云南省红河州绿春县,72,22.879205635376,102.24532652527
云南省,云南省红河州泸西县,72,24.517287142428,103.78325262963
云南省,云南省红河州金平县,72,22.782362632707,103.10295686991
云南省,云南省红河州建水县,72,23.683913975607,102.88967448622
云南省,云南省红河州红河县,72,23.25095486222,102.24334816633
云南省,云南省红河州河口县,72,22.787362600257,103.82344937104
云南省,云南省文山州砚山县,72,23.369870719795,104.24442291543
云南省,云南省文山州丘北县,72,24.127816712063,104.1103336155
云南省,云南省文山州马关县,72,22.956555382199,104.2703122499
云南省,云南省文山州麻栗县,72,23.369870719795,104.24442291543
云南省,云南省文山州广南县,72,23.967819904212,105.00649035975
云南省,云南省文山州富宁县,72,23.707256011437,105.74960821588
云南省,云南省普洱市镇沅县,72,23.947142361467,100.98205355627
云南省,云南省普洱市西盟县,72,22.708423462771,99.522119995137
云南省,云南省普洱市宁洱县,72,23.097350457989,101.19686023959
云南省,云南省普洱市墨江县,72,23.363251135433,101.55548645512
云南省,云南省普洱市孟连县,72,22.29422526245,99.478067991072
云南省,云南省普洱市澜沧县,72,22.788777780149,100.98005773013
云南省,云南省普洱市景谷县,72,23.368117190796,100.56429126294
云南省,云南省普洱市景东县,72,24.39672894394,100.79520569746
