shopName,lat,lng
高桥餐厅,31.34859212,121.5861495
城中餐厅,31.38684725,121.2619922
嫩江餐厅,31.31963564,121.5389714
乳山餐厅,31.24183793,121.5303284
南桥餐厅,30.92146341,121.4651424
东川餐厅,31.02155477,121.4267997
五莲餐厅,31.27757074,121.5941847
荣乐餐厅,31.02354565,121.2262553
盈港餐厅,31.16538934,121.119468
甘泉餐厅,31.26832201,121.4371949
金高餐厅,31.28473077,121.6145396
月浦餐厅,31.42454225,121.4365504
和平餐厅,31.23869971,121.482519
赤峰餐厅,31.28735052,121.4887097
大宁餐厅,31.28120434,121.4428242
万里餐厅,31.27386081,121.4170614
通园餐厅,31.34969098,121.5808095
博乐餐厅,31.38900141,121.2607013
北门餐厅,31.05306063,121.7618357
龙城餐厅,31.17124363,121.3484131
虎城餐厅,31.27793885,121.4207976
康沈餐厅,31.12204099,121.5836705
长临餐厅,31.32802748,121.4426196
临汾餐厅,31.3171151,121.4601253
哈密餐厅,31.21391658,121.3775805
瑞虹餐厅,31.26650584,121.5054127
南翔餐厅,31.29660473,121.3150897
博文餐厅,31.19000589,121.5094683
牡丹江餐厅,31.38716285,121.5031711
周家嘴餐厅,31.29304896,121.5599324
通州餐厅,31.26421702,121.5018323
罗香餐厅,31.14091075,121.4432973
漕东餐厅,31.24916171,121.4878995
长征餐厅,31.24955783,121.405725
春申餐厅,31.11350095,121.4152753
金汇餐厅,31.20657331,121.7010428
莘建餐厅,31.1182615,121.3912897
南丹餐厅,31.19473861,121.4487361
张江高科餐厅,31.20634433,121.591476
国顺餐厅,31.30682469,121.5425322
龙茗餐厅,31.14432016,121.3935786
朱家角餐厅,31.11512533,121.0635058
康桥餐厅,31.1552974,121.5735042
聚丰餐厅,31.32040099,121.3883953
延长餐厅,31.27691711,121.4604903
逸仙餐厅,31.31022372,121.491171
苗圃餐厅,31.23723804,121.5616286
南奉餐厅,31.06137075,121.7715155
保德餐厅,31.32555185,121.4737461
新源餐厅,31.2013546,121.7043498
联洋餐厅,31.23383869,121.5651757
虬江餐厅,31.25798433,121.4845057
凌兆餐厅,31.14941072,121.5057425
淞南餐厅,31.34236316,121.488589
丁香餐厅,31.22437576,121.5503036
吴泾餐厅,31.04820792,121.4704535
龙阳餐厅,31.20939462,121.5652196
怀德餐厅,31.26400394,121.5316317
汇川餐厅,31.22487508,121.4235124
石化餐厅,30.73390289,121.341904
徐泾餐厅,31.24916171,121.4878995
沪太餐厅,31.26495413,121.4565906
永泰餐厅,31.14925506,121.5326156
莘松餐厅,31.10538034,121.370589
九亭餐厅,31.13665998,121.3383215
龙之梦餐厅,31.22470256,121.4233729
合川餐厅,31.19353932,121.3843355
蕴川餐厅,31.37292724,121.439049
松江新城餐厅,31.04478196,121.2242686
