id,shopName,lat,lng
108,上海麦当劳北广场2#餐厅 * ,31.251593,121.455424
109,上海麦当劳吴江路餐厅,31.229743,121.460875
110,上海麦当劳日月光SML餐厅,31.206062,121.468219
111,上海麦当劳高铁餐厅 * ,31.193952,121.318846
112,上海麦当劳丰庄餐厅,31.254113,121.36186
113,上海麦当劳江湾镇餐厅,31.306372,121.485415
114,上海麦当劳巨峰路餐厅,31.279915,121.609476
115,上海麦当劳大华第一坊餐厅,31.27288,121.411579
116,上海麦当劳斜土路餐厅,31.194271,121.45122
117,上海麦当劳柳州路餐厅,31.158847,121.428904
118,上海麦当劳博山东路餐厅,31.248009,121.561733
119,上海麦当劳良华购物中心餐厅,31.208648,121.308306
120,上海麦当劳奉贤餐厅,30.914597,121.458879
121,上海麦当劳临沂路餐厅,31.194843,121.512433
122,上海麦当劳虹桥机场餐厅 * ,31.195427,121.342643
123,上海麦当劳川沙餐厅,31.193373,121.698481
124,上海麦当劳中山公园-交通枢纽餐厅,31.217914,121.416428
125,上海麦当劳共和新路-永鼎餐厅,31.298743,121.448376
126,上海麦当劳水城南路餐厅,31.19687,121.39388
127,上海麦当劳沪闵路餐厅,31.131618,121.400919
128,上海麦当劳曲阳餐厅,31.279711,121.490845
129,上海麦当劳嘉定餐厅,31.385662,121.251219
130,上海麦当劳虹桥机场T2航站楼餐厅 * ,31.196045,121.328888
131,上海麦当劳中山北路龙金大厦餐厅,31.263883,121.468042
132,上海麦当劳九亭MTR餐厅,31.1378003856,121.3199396121
133,上海麦当劳雅居乐餐厅,31.2360640103,121.4735463768
134,上海麦当劳大柏树创意园餐厅,31.2909438093,121.4828717675
135,上海麦当劳长泰商业广场餐厅,31.2051568381,121.6011548861
136,上海麦当劳南丰城餐厅,31.206752,121.40697
137,上海麦当劳越洋广场餐厅,31.223317,121.447912
138,上海麦当劳友谊路DT餐厅,31.392431,121.448892
139,上海麦当劳华山路餐厅,31.197029,121.437341
140,上海麦当劳鑫都路餐厅,31.056528,121.395854
141,上海麦当劳鞍山餐厅,31.273034,121.511893
142,上海麦当劳卜蜂莲花新镇店餐厅,31.140112,121.368927
143,上海麦当劳岚皋路-品尊餐厅,31.255404,121.421098
144,上海麦当劳安亭嘉亭荟餐厅,31.288966,121.160977
145,上海麦当劳桂平路-漕河泾餐厅,31.164317,121.403428
146,上海麦当劳鲁迅公园餐厅,31.269161,121.480854
147,上海麦当劳南翔轻轨站餐厅,31.296025,121.323154
148,上海麦当劳淞宝加油站DT餐厅,31.377669,121.498579
149,上海麦当劳松江中心医院餐厅,31.006748,121.222813
150,上海麦当劳光启城餐厅,31.184939,121.42831
151,上海宝山万达餐厅,31.322729,121.446171
152,上海麦当劳青浦奥特莱斯餐厅 * ,31.157745,121.228168
153,上海麦当劳凯旋路-新淮海坊餐厅,31.196219,121.421996
154,上海麦当劳绿地东海岸餐厅,31.183554,121.699403
155,上海麦当劳控江路吉买盛餐厅,31.279009,121.529023
156,上海麦当劳曹安路DT餐厅,31.261128,121.340591
157,上海麦当劳开元地中海餐厅,31.038554,121.218224
158,上海麦当劳汇景生活广场餐厅,31.199113,121.477286
159,上海麦当劳淮海百盛餐厅,31.217173,121.459309
160,上海麦当劳顾村公园餐厅,31.344436,121.374119
161,上海麦当劳金平路餐厅,31.011516,121.410174
162,上海麦当劳瞿溪路餐厅,31.20195,121.483178
163,上海麦当劳顾戴路万源城餐厅,31.141927,121.396144
164,上海麦当劳华宁国际广场餐厅,31.217259,121.422178
165,上海麦当劳昌里路浦东商场餐厅,31.17406,121.491
166,上海麦当劳中海万锦城餐厅,31.250641,121.459563
167,上海麦当劳虹井路餐厅,31.176414,121.371012
168,上海麦当劳东昌路世界广场餐厅,31.232577,121.514516
169,上海麦当劳奉贤理想广场餐厅,30.909635,121.458083
170,上海麦当劳长阳路欧尚餐厅,31.270301,121.536956
171,上海麦当劳虹桥东交-3F餐厅 * ,31.193643,121.327155
172,上海麦当劳斜土路2号餐厅,31.195628,121.456071
173,上海麦当劳福泉路餐厅,31.218772,121.358728
174,上海麦当劳汇景宝山路地铁站 - 复地餐厅,31.252534,121.476926
175,上海麦当劳涞亭南路DT餐厅,31.1453259511,121.3305938243
