city,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名
广州,2015/4/16,101,60~171,轻度污染,55.1,95.1,22.9,1.029,63,306,199
广州,2015/4/17,76,45~92,良,43.7,70.4,17.8,1.008,51.2,192,120
广州,2015/4/18,54,40~70,良,31.3,58.1,15.3,0.942,41.8,38,78
广州,2015/4/19,58,51~63,良,36.1,62.5,11.1,0.901,39.5,87,160
广州,2015/4/20,43,28~58,优,26.6,42.4,10.6,1.093,39.6,65,84
广州,2015/4/21,36,24~56,优,22,32.8,9.5,1.221,31.5,124,39
广州,2015/4/22,54,40~71,良,34.7,50.7,10.2,1.034,38.7,141,97
广州,2015/4/23,72,62~83,良,52,75.5,16.5,1.116,57.1,136,176
广州,2015/4/24,73,63~84,良,52.1,77.1,19.4,1.239,64.4,150,167
广州,2015/4/25,122,88~158,轻度污染,91.8,116.7,26.9,1.472,77.8,106,295
广州,2015/4/26,90,65~141,良,66.4,77.9,17.4,1.224,59.8,97,209
广州,2015/4/27,94,64~111,良,59.4,83.5,20.7,1.165,58.8,202,251
广州,2015/4/28,68,54~98,良,40.2,63.5,16.7,1.037,45,197,154
广州,2015/4/29,76,50~114,良,48.9,75.3,18,1.056,56.9,226,189
广州,2015/4/30,69,48~91,良,42.7,62.9,11.9,1.04,49.6,175,134
乌鲁木齐,2015/4/1,49,32~72,优,32.7,44.4,6.4,0.865,31.4,41,106
乌鲁木齐,2015/4/2,39,20~55,优,24.9,34.9,8.4,0.72,27.2,46,76
乌鲁木齐,2015/4/3,78,38~182,良,56.2,62.5,10,1.221,46.6,69,214
乌鲁木齐,2015/4/4,82,53~113,良,59.3,85.3,12.3,1.225,46.8,57,242
乌鲁木齐,2015/4/5,85,61~122,良,61.3,102.7,17.8,1.387,53.1,62,250
乌鲁木齐,2015/4/6,87,62~120,良,62.2,105.5,18.7,1.273,49.7,71,292
乌鲁木齐,2015/4/7,97,53~130,良,69.3,113,16.2,1.427,52.8,82,328
乌鲁木齐,2015/4/8,89,55~129,良,53.3,123.1,17.7,1.281,54.6,73,291
乌鲁木齐,2015/4/9,94,64~134,良,54.5,133.5,15.9,1.06,43.7,88,304
乌鲁木齐,2015/4/10,90,57~138,良,50.8,125.9,13.8,1.079,45.1,78,261
乌鲁木齐,2015/4/11,101,68~153,轻度污染,51.5,148,12.4,1.086,46.9,78,276
乌鲁木齐,2015/4/12,114,76~162,轻度污染,43.6,174.5,9.5,0.829,36.7,72,329
乌鲁木齐,2015/4/13,125,84~305,轻度污染,55.3,191.9,10.3,0.784,39.9,72,345
乌鲁木齐,2015/4/14,146,73~301,轻度污染,50.5,228.3,13.9,0.79,31.3,72,331
